block_id,block_plain,nearest_neighbor_1_id,nearest_neighbor_2_id,nearest_neighbor_3_id,nearest_neighbor_4_id,block_latitude,block_longitude,nearest_neighbor_1_plain,nearest_neighbor_2_plain,nearest_neighbor_3_plain,nearest_neighbor_4_plain,pct_voted_2024,nearest_neighbor_1_pct_voted_2024,nearest_neighbor_2_pct_voted_2024,nearest_neighbor_3_pct_voted_2024,nearest_neighbor_4_pct_voted_2024,pct_voted_2022,nearest_neighbor_1_pct_voted_2022,nearest_neighbor_2_pct_voted_2022,nearest_neighbor_3_pct_voted_2022,nearest_neighbor_4_pct_voted_2022,pct_voted_2020,nearest_neighbor_1_pct_voted_2020,nearest_neighbor_2_pct_voted_2020,nearest_neighbor_3_pct_voted_2020,nearest_neighbor_4_pct_voted_2020,pct_voted_current,nearest_neighbor_1_pct_voted_current,nearest_neighbor_2_pct_voted_current,nearest_neighbor_3_pct_voted_current,nearest_neighbor_4_pct_voted_current,pct_voted_3days,nearest_neighbor_1_pct_voted_3days,nearest_neighbor_2_pct_voted_3days,nearest_neighbor_3_pct_voted_3days,nearest_neighbor_4_pct_voted_3days,pct_voted_1week,nearest_neighbor_1_pct_voted_1week,nearest_neighbor_2_pct_voted_1week,nearest_neighbor_3_pct_voted_1week,nearest_neighbor_4_pct_voted_1week,county_fips,county,state
GA032618,100s Moen St.,GA146795,GA259608,GA091762,GA297887,31.525938,-83.837044,100s E Front St.,100s N Main St.,300s E Kelly St.,300s S Main St.,22,60,67,82,33,18,20,33,55,33,18,40,50,64,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,Worth County,GA
GA041306,200s Main St. NW,GA120055,GA200381,GA293882,GA185377,31.8311,-83.925737,100s Cherry St. NW,100s Main St. NW,100s Cherry St. NE,200s Russell St. NE,30,60,78,71,80,30,40,44,71,60,30,60,67,86,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,Worth County,GA
GA044424,700s W Pinson St.,GA153639,GA039791,GA219989,GA237043,31.53397,-83.848395,200s Peach Ave.,200s N Carter Rd.,100s N Carter Rd.,200s N Ayers St.,24,68,75,50,27,16,42,75,33,36,19,63,67,50,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,Worth County,GA
GA045336,800s W Railroad St.,GA213755,GA099102,GA267250,GA164230,31.528899,-83.848278,100s Brown Dr.,100s Devin St.,100s Atlantic St.,200s S Ayers St.,33,33,35,71,55,25,0,18,86,55,42,17,35,71,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,Worth County,GA
GA045367,200s E Pine St.,GA144498,GA152673,GA019054,GA297887,31.518126,-83.835268,200s E Lee St.,600s S Isabella St.,800s S Main St.,300s S Main St.,38,72,30,65,33,35,64,50,52,33,42,69,40,70,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,Worth County,GA
GA051430,100s Marginal St.,GA222126,GA122556,GA079702,GA067320,31.540565,-83.842604,200s Mullis St.,100s Cedar St.,200s Marginal St.,100s Warren Dr.,85,67,75,67,70,54,50,62,83,70,69,67,75,83,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,Worth County,GA
GA101658,100s Richie Dr.,GA005448,GA060823,GA302281,GA031449,31.564487,-83.993843,200s N County Line Rd.,100s Renee Ln.,500s Henry Rd.,300s N County Line Rd.,66,59,81,55,80,55,50,71,50,80,69,68,67,55,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,Worth County,GA
GA104994,1000s N Henderson St.,GA013937,GA208618,GA046102,GA067320,31.542444,-83.839269,1000s N Washington St.,1100s N Washington St.,1100s N Henderson St.,100s Warren Dr.,59,70,42,82,70,49,57,33,71,70,49,57,42,82,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,Worth County,GA
GA106589,700s W Pine St.,GA129039,GA071811,GA252038,GA124681,31.519466,-83.848466,100s Markel St.,100s Covey St.,600s W Pine St.,600s S Monroe St.,55,23,22,29,86,45,13,9,29,29,49,19,22,57,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,Worth County,GA
GA108687,1200s N Washington St.,GA190049,GA208618,GA046102,GA180238,31.544549,-83.83801,100s W King St.,1100s N Washington St.,1100s N Henderson St.,100s Mcdonald St.,72,79,42,82,43,56,67,33,71,29,61,79,42,82,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,Worth County,GA
