county,main_ev_name,main_ev_street_address,main_ev_city,state,main_ev_zip,main_ev_lat,main_ev_long,registrar_phone,main_ev_monday_friday,main_ev_sat,main_ev_sun,county_ev_lookup_link
COUNTY,LOCATION,ADDRESS,CITY,STATE,ZIP,LAT,LONG,PHONE,MONDAY_THRU_FRIDAY,SATURDAY,SUNDAY,(gabe will fill in this one)
Accomack County,Office of Voter Registration & Elections,24387 Joynes Neck Rd.,Accomack,VA,23301,,,(757) 787-2935,September 18 thru October 30: 8:30am-5pm,October 24 and 31: 8:30am-5pm,Sunday October 18th and 25th: 11am - 5pm,
Albemarle County,Office of Voter Registration,"1600 5th Street Extended, Room A",Charlottesville,VA,22902,,,434-972-4173,"September 18 thru October 30: 8:30am-5pm

Extended Hours:
Tuesdays, October 20 & 27, 2026, 7am - 5pm
Thursdays, October 22 & 29, 2026, 8:30am - 7pm","Saturdays, October 24 & 31: 8:30am - 5pm","Sundays, October 18 & 25: 11am - 4pm",
Alexandria,Office of Voter Registration & Elections,"132 North Royal Street, Suite 100",Alexandria,VA,22314,,,703-746-4050,"September 18 thru October 30: 8am-5pm

Closed Monday, October 12th","Saturdays, October 24 & 31: 9am - 5pm","Sundays, October 18 & 25: 11am - 4pm",
Alexandria,"Charles Beatley, Jr. Central Library",5005 Duke Street,Alexandria,VA,22304,,,703-746-4051,"Friday, October 23, 1pm-5pm

Monday, October 26 thru Thursday, October 29, 1pm - 7pm

Friday, October 30, 1pm - 5pm","Saturdays, October 24 & 31: 9am - 5pm","Sundays, October 18 & 25: 11am - 4pm",
Alexandria,Minnie Howard Campus of Alexandria City Public High School,3801 Braddock Road,Alexandria,VA,22302,,,703-746-4052,No early voting for November 3rd election,N/A,N/A,
Alexandria,George Washington Middle School,1005 Mt Vernon Ave,Alexandria,VA,22301,,,703-746-4053,No early voting for November 3rd election,N/A,N/A,
Alleghany County,Alleghany County Registrars Office,"110 Rosedale Avenue, Suite D",Covington,VA,24426,,,540-965-1690,September 18 thru October 30: 9am-5pm,Coming Soon,,
Amelia County,Office of Voter Registration & Election,"9127 Washington Street, Suite 102",Amelia,VA,23002,,,804-561-3460,September 18 thru October 30: 8:30am-4:30pm,Coming Soon,,
Amherst County,Amherst County Courthouse,113 Taylor Street,Amherst,VA,24521,,,434-946-9315,Coming Soon,Coming Soon,,
Arlington County,Courthouse Plaza,2100 Clarendon Blvd. Ste. 320,Arlington,VA,22201,,,703-228-3456,Coming Soon,Coming Soon,,
Arlington County,Langston-Browne Community Center,2121 N. Culpeper St,Arlington,VA,22207,,,703-228-5310,Coming Soon,Coming Soon,,
Arlington County,Walter Reed Community Center,2909 16th St S,Arlington,VA,22204,,,703-228-0935,Coming Soon,Coming Soon,,
Augusta County,Government Center,18 Gov Center Ln,Verona,VA,24482,,,540-245-5656,Coming Soon,Coming Soon,,
Bath County,Voter Registration Office,"65 Courthouse Hill Road, Room 103",Warm Springs,VA,24484,,,540-839-7266,Coming Soon,Coming Soon,,
Bedford County,Office of the Registrar,1059 Turning Point Rd,Bedford,VA,24523,,,540-586-7649,Coming Soon,Coming Soon,,
Bland County,Voter Registration & Elections Office,"20 Fairground Street, Suite 101",Bland,VA,24315,,,276-688-4441,Coming Soon,Coming Soon,,
Botetourt County,Department of Elections & Voter Registration,2 East Main Street,Fincastle,VA,24090,,,540-928-2120,Coming Soon,Coming Soon,,
Bristol City,City Hall in the City Council Chambers,300 Lee St.,Bristol,VA,24201,,,276-645-7318,Coming Soon,Coming Soon,,
Brunswick County,General Registrar's Office,"101 Tobacco St., Rm 103",Lawrenceville,VA,23868,,,434-848-4414,Sept 18 - Oct 30: 8:30am-4:30pm                   Oct.12: closed,Oct 24th & 31st: 8:30am-4:30pm (closes 5pm on 31st)                    ,Oct 18th & 25th: 11am-4pm,
Buchanan County,Buchanan County Elections Office,23784 Riverside Dr,Grundy,VA,24614,,,276-935-6534,Coming Soon,Coming Soon,,
Buckingham County,Voter Registration and Elections Office,13360 W James Anderson Hwy,Buckingham,VA,23219,,,434-969-4304,Sept 18 - Oct 30: 8am to 5pm,Coming Soon,,
Buena Vista County,Voter Registrar's Office,"2039 Sycamore Ave, 1st Floor",Buena Vista,VA,24416,,,540-261-8605,Sept 18 - Oct 30: 9am to 5pm,Coming Soon,,
Campbell County,General Registrar's office,41 Courthouse Lane,Rustburg,VA,24588,,,434-332-9579,Sept 18 - Oct 30: 8:30am to 5pm,Coming Soon,,
Caroline County,General Registrar's office,212 N Main Street,Bowling Green,VA,22427,,,804-633-9083,Sept 18 - Oct 30: 9am to 5pm,Oct 24th & 31st: 9am to 5pm,Oct 18th & 25th: Noon to 5pm,
Carroll County,General Registrar's office,605-3 Pine Street,Hillsville,VA,24343,,,276-730-3035,Sept 18 - Oct 30: 8:30am to 4:30pm,Oct 24th & 31st: 8am to 5pm,"
Oct 18th & 25th: Noon to 5pm
",
Charles City,General Registrar's office,10900 Courthouse Road,Charles City,VA,23030,,,804-652-4606,Sept 18 - Oct 30: 8:30am to 4:30pm,Oct 24th & 31st: 8am to 5pm,Oct 18th & 25th: Noon to 5pm,
Charlotte County,General Registrar's office,"250 Legrande Ave, Ste A",Charlotte Court House,VA,23923,,,434-542-5856,Sept 18 - Oct 30: 8:30am to 4:30pm; Closed Oct 12th,Oct 24th & 31st: 9am to 5pm,,
Charlottesville City,General Registrar's office,"120 7th Street NE, City Hall Annex, Room 142",Charlottesville,VA,22902,,,434-970-3250,Sept 18 - Oct 30: 8:30am to 4:30pm,Oct 24th & 31st: 8:30am-5:00pm                   ,Oct 18th & 25th: Noon to 5pm,
Chesapeake City,Voter Registrar's Office,411 Cedar Road,Chesapeake,VA,23332,,,757-382-8000,September 18 thru October 24: 8am-5pm,Coming Soon,,
Chesapeake City,Central Library,298 Cedar Road,Chesapeake,VA,23322,,,757-382-8001,September 18 thru October 24: 8am-5pm,Coming Soon,,
Chesapeake City,Indian River Library,2320 Old Greenbrier Road,Chesapeake,VA,23325,,,757-382-8002,Coming Soon,Coming Soon,,
Chesapeake City,Major Hillard Library,824 Old George Washington Hwy N,Chesapeake,VA,23323,,,757-382-8003,Coming Soon,Coming Soon,,
Chesapeake City,Cuffee Community Center,2019 Windy Road,Chesapeake,VA,23324,,,757-382-8004,Coming Soon,Coming Soon,,
Chesapeake City,Russel Memorial Library,2808 Taylor Rd,Chesapeake,VA,23321,,,757-382-8004,Coming Soon,Coming Soon,,
Chesterfield County,Central Library,7051 Lucy Corr Blvd.,Chesterfield,VA,23832,,,804-748-1471,September 18 thru October 30: 9am-5pm,Oct. 24 and Oct. 31: 9am to 5pm,Oct. 18 and Oct. 25: 11am to 4pm,
Chesterfield County,Clover Hill Library,6701 Deer Run Drive,Midlothian,VA,23112,,,804-748-1471,September 18 thru October 30: 10am to 6pm,Oct. 24 and Oct. 31: 9am to 5pm,Oct. 18 and Oct. 25: 11am to 4pm,
Chesterfield County,Ettrick-Matoaca Library,"4501 River Road,",South Chesterfield,VA,23803,,,8043188688,September 18 thru October 30: 10am to 6pm,Oct. 24 and Oct. 31: 9am to 5pm,Oct. 18 and Oct. 25: 11am to 4pm,
Chesterfield County,LaPrade Library,9000 Hull Street Road,North Chesterfield,VA,23236,,,,September 18 thru October 30: 10am to 6pm,Oct. 24 and Oct. 31: 9am to 5pm,Oct. 18 and Oct. 25: 11am to 4pm,
Chesterfield County,Meadowdale Library,4301 Meadowdale Boulevard,North Chesterfield,VA,23234,,,8043188778,September 18 thru October 30: 10am to 6pm,Oct. 24 and Oct. 31: 9am to 5pm,Oct. 18 and Oct. 25: 11am to 4pm,
Chesterfield County,North Courthouse Road Library,325 Courthouse Road,North Chesterfield,VA,23236,,,,September 18 thru October 30: 10am to 6pm,Oct. 24 and Oct. 31: 9am to 5pm,Oct. 18 and Oct. 25: 11am to 4pm,
City of Fairfax,City of Fairfax Office of Elections,"10455 Armstrong Street, Suite 300",Fairfax,VA,22030,,,703-385-7890,Sept 18th thru Oct 30th: 8:30am to 5:00pm,Oct 24 and Oct 31: 8:30am to 5:00pm,Oct18 and 25th: Noon to 5pm,
Clarke County,Office of Elections,101 Chalmers Ct.,Berryville,VA,22611,,,540-955-5168,September 18 thru October 24: 8:30am-4:30pm; Closed October 12th,Oct 24 and Oct 31: 8:30am to 5:00pm,Oct. 18 and Oct. 25: 11am to 4pm,
Colonial Heights City,General Registrar's office,"City Hall 1st floor, 201 James Ave.",Colonial Heights,VA,23834,,,804-520-9277,September 18 thru October 24: 9am-5pm,Oct 24th & 31st: 9am to 5pm,Oct 18 and Oct 25: Noon to 5pm,
Covington,General Registrar's office,515 E. Pine St.,Covington,VA,24426,,,540-965-6380,September 18 thru October 24: 9am-5pm,Oct 24th & 31st: 9am to 5pm,Oct 18th & 25th: 11am to 4pm,
Craig County,General Registrar's office,155 Main Street,Newcastle,VA,24127,,,540-864-6190,September 18 thru October 24: 8am-4pm,Oct 24th & 31st: 9am to 5pm,Oct 18th & 25th: 11am to 4pm,
Culpeper County,Voter Registration and Elections Office,131 N. Main St Suite 301,Culpeper,VA,22701,,,540-825-0652,Coming Soon,Coming Soon,,
Cumberland County,General Registrar's office,1487 Anderson Hwy,Cumberland,VA,23040,,,804-492-4504,Coming Soon,Coming Soon,,
Danville City,General Registrar's office,"530 Main St, Ste 100",Danville,VA,24541,,,434-799-6560,Coming Soon,Coming Soon,,
Dickenson,Dickenson Center for Education and Research - Room 138,818 Happy Valley Dr.,Clintwood,VA,24228,,,276-926-1620,Coming Soon,Coming Soon,,
Dinwiddie County,General Registrar's office,14016 Boydton Plank Road,Dinwiddie,VA,23841,,,804-469-4500,Coming Soon,Coming Soon,,
Emporia City,General Registrar's office,201 South Main Street,Emporia,VA,23847,,,434-634-9533,Coming Soon,Coming Soon,,
